Modelo,Núcleos,Líneas de Ejecución,Velocidad Base,Velocidad Turbo,Costo de salida,Costo actual,Fecha de salida
Intel I7 8700K,6,12,3.7,4.7,390,368,Q42017
Intel I5 8600K,6,6,3.6,4.3,269.99,265,Q42017
AMD Ryzen 5 2600,6,12,3.4,3.9,201,172,Q12018
AMD Ryzen 7 2700X,8,16,3.7,4.3,330,334,Q12018
AMD Ryzen 5 1600,6,12,3.2,3.6,226,170,Q12017
Intel I5 8400,6,6,2.8,4,188,197,Q42017
AMD Ryzen 3 2200G,4,4,3.5,3.7,99,102,Q12018
Intel I3 8100,4,4,3.6,3.6,118,125,Q42017
AMD Ryzen 5 2600X,6,12,3.6,4.2,229,240,Q12018
AMD Ryzen 5 2400G,4,8,3.6,3.9,170,163,Q12018
Intel I7 7700K,4,8,4.2,4.5,350,345,Q12017
Intel I7 8700,6,12,3.2,4.6,312,350,Q42017
AMD Ryzen 3 1200,4,4,3.1,3.4,114,101,Q22017
AMD Ryzen 7 1700,8,16,3,3.7,330,240,Q12017
Intel I7 8086K,6,12,4,5,425,420,Q22018
AMD Ryzen 7 1800X,8,16,3.6,4,500,320,Q12017
AMD Threadripper 1950X,16,32,3.4,4,1000,790,Q22017
Intel Pentium G5460,2,4,3.5,3.5,75,58,Q12017
Intel I5 7600K,4,4,3.8,4.2,250,250,Q12017
Intel I7 6700K,4,8,4,4.2,335,350,Q22015
AMD Ryzen 5 1600X,6,12,3.6,4,250,200,Q12017
Intel I5 8600,6,6,3.1,4.3,228,230,Q42017
AMD Ryzen 7 2700,8,16,3.2,4.1,301,290,Q12018
AMD FX 8350,4,8,4,4,200,90,Q32011
Intel I9 7980XE,18,36,2.6,4.4,1999,1880,Q32017
AMD Ryzen 5 1500X,4,8,3.5,3.7,190,150,Q12017
AMD Ryzen 7 1700,8,16,3,3.7,400,300,Q12017
Intel Pentium Gold G5400,2,4,3.7,3.7,73,70,Q12018
Intel I3 8350K,4,4,4,4,179,185,Q32017
Intel I5 6600K,4,4,3.5,3.9,243,229,Q22015
AMD Ryzen 3 1300X,4,4,3.5,3.7,130,133,Q22017
Intel I9 7900X,10,20,3.3,4.3,999,1055,Q22017
Intel I5 8500,6,6,3,4.1,206,2015,Q42017
Intel I5 7400,4,4,3,3.5,219,190,Q12017
AMD Ryzen 5 1400,4,8,3.2,3.4,169,150,Q12017
AMD FX 6300,3,6,3.5,3.5,132,55,Q32011
Intel I7 7820X,8,16,3.6,4.5,600,495,Q22017
AMD Threadripper 1920X,12,24,3.5,4,800,525,Q22017
Intel I7 7700,4,8,3.6,4.2,312,325,Q12017
Intel I5 7500,4,4,3.4,3.8,204,212,Q12017
Intel I7 4790k,4,8,4,4.4,341,355,Q22014
AMD Threadripper 1900X,8,16,3.8,4,545,321,Q22017
AMD Threadripper 2990WX,32,64,3,4.2,1800,1800,Q22018
Intel I3 6100,2,4,3.7,3.7,117,125,Q32015
Intel I5 6500,4,4,3.2,3.6,202,220,Q32015
intel pentium G4400,2,2,3.3,3.3,64,50,Q32015
Intel I5 4460,4,4,3.2,3.4,187,185,Q22014
Intel I5 2400,4,4,3.1,3.1,174,160,Q12011
Intel I3 7100,2,4,3.9,3.9,137,131,Q12017
Intel I7 6700,4,8,3.4,4,312,327,Q22015
Intel I7 7740X,4,8,4.3,4.5,350,348,Q22017